,Date Filed,City,State,Address,Status,Case Name,Labor Union,Tally Date,Ballot Type,Votes For Union,Votes Against,Num Eligible Voters,Case,lon,lat
38,17-Mar-22,Oklahoma City,OK,"132 NW 23rd St., Oklahoma",Open,Starbucks Corporation,Chicago & Midwest Regional Joint Board - Workers United/SEIU,31-May-22,Initial,15,2,33,14-RC-292446,-97.5154387,35.493017
86,5-Apr-22,Denton,TX,"2320 W. University Drive, Denton, Texas",Open,STARBUCKS CORPORATION,WORKERS UNITED,30-Jun-22,Initial,17,5,41,16-RC-293512,-97.1621493,33.2303276
62,28-Mar-22,Lawrence,KS,"1731 W 23rd Street, Lawrence, KS",Open,Starbucks Corporation,Workers United,7-Jun-22,Initial,19,3,37,14-RC-293092,-95.2573899,38.9425673
3,2-Feb-22,Overland Park,KS,"10201 W. 75th St., Overland Park, KS",Open,Starbucks Corporation,Chicago & Midwest Regional Joint Board - Workers United/SEIU,8-Apr-22,Initial,6,1,20,14-RC-289926,-94.7036778,38.9926585
134,22-Mar-22,Kansas City,MO,"4101 Main Street, Kansas",Open,Starbucks Corporation,Chicago & Midwest Regional Joint Board - Workers United/SEIU,22-Jun-22,Initial,5,4,32,14-RC-292753,-94.5860218,39.0512353
68,10-Mar-22,Independence,MO,"18710 E 39th St., Independence, MO",Open,Starbucks Corporation,Chicago & Midwest Regional Joint Board - Workers United/SEIU,24-May-22,Initial,17,3,28,14-RC-292066,-94.3597446,39.0483768
158,30-Mar-22,Minneapolis,MN,"5351 Lyndale Ave S, Minneapolis, Minnesota",Open,Starbucks Corporation,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",14-Jun-22,Initial,5,6,19,18-RC-293227,-93.2879558,44.9052411
144,28-Feb-22,Minneapolis,MN,"4712 Cedar Ave., Minneapolis, Minnesota",Unionized,Starbucks Corporation,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",2-May-22,Initial,11,3,31,18-RC-291359,-93.2476577,44.9173845
57,14-Apr-22,Bloomington,MN,"164 E Broadway, Bloomington, Minnesota",Open,Starbucks Corporation,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",22-Jun-22,Initial,10,1,19,18-RC-294052,-93.2406663,44.854579
127,22-Mar-22,St. Anthony,MN,3704 Silver Lake Rd NE,Unionized,Starbucks Corporation,"Chicago & Midwest Regional Joint Board, Workers United/SEIU",6-Jun-22,Initial,12,5,28,18-RC-292716,-93.2190959,45.037198
103,14-Feb-22,St. Paul,MN,"300 Snelling Ave S Suite C, St. Paul, Minnesota",Unionized,Starbucks Corporation,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",27-Apr-22,Initial,14,1,20,18-RC-290585,-93.1666904,44.9325932
31,1-Apr-22,Bridgeton,MO,"12419 St. Charles Rock Road, Bridgeton, MO",Open,Starbucks Corporation,"Chicago and Midwest Regional Joint Board, Workers United/ SEIU",13-Jun-22,Initial,9,14,41,14-RC-293357,-90.4300181,38.7555355
47,30-Mar-22,St. Louis,MO,"1500 South Lindbergh Blvd., St. Louis, MO",Open,Starbucks Corporation,Chicago & Midwest Regional Joint Board - Workers United/SEIU,13-Jun-22,Initial,12,3,28,14-RC-293254,-90.4048886,38.6324503
28,4-Apr-22,St. Louis,MO,"1216 Hampton Ave., St. Louis, MO",Open,Starbucks Corporation,"Chicago & Midwest Regional Joint Board, Workers United/SEIU",17-Jun-22,Initial,17,0,25,14-RC-293479,-90.2870069,38.6277449
126,4-Apr-22,St. Louis,MO,"3700 S Kingshighway Boulevard, St. Louis, MO",Open,Starbucks Corporation,"Chicago and Midwest Regional Joint Board, Workers United/ SEIU",14-Jun-22,Initial,9,4,29,14-RC-293441,-90.2721082,38.59258
181,19-Apr-22,New Orleans,LA,"7700 Maple Street, New Orleans, Louisiana",Unionized,Starbucks Corporation,Workers United,4-Jun-22,Initial,11,1,15,15-RC-294263,-90.129738,29.9418047
115,19-Jan-22,Memphis,TN,"3388 Poplar Ave., Memphis, Tennessee",Unionized,Starbucks Corporation,Workers United,7-Jun-22,Initial,11,3,24,15-RC-289150,-89.9491496,35.1292311
23,14-Feb-22,Peoria,IL,"1200 West Main Street Peoria, IL",Unionized,Starbucks Corporation,"Chicago & Midwest Regional Joint Board, an Affiliate of Workers United SEIU",26-Apr-22,Initial,9,2,18,25-RC-290625,-89.6113503,40.6987309
21,22-Feb-22,Plover,WI,"120 Crossroads Drive, Plover, Wisconsin",Open,Starbucks Corporation,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",4-May-22,Initial,7,5,34,18-RC-291082,-89.5129936,44.4969219
1,30-Mar-22,Madison,WI,"1 E. Main Street, Madison, Wisconsin",Open,Starbucks Corporation,"Chicago and Midwest Regional Joint Board, Workers United/ SEIU",30-Jun-22,Initial,15,1,22,18-RC-293286,-89.3823586,43.073728
168,13-Apr-22,Appleton,WI,"631 W. Northland Ave., Appleton, Wisconsin",Unionized,Starbucks Corporation,"Chicago & Midwest Regional Joint Board, Workers United affiliated with Service Employees International Union",16-Jun-22,Initial,10,7,24,18-RC-294019,-88.414675,44.2867755
166,14-Feb-22,Cary,IL,"620 Northwest Highway, Cary, IL",Unionized,Starbucks Corporation,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",26-Apr-22,Initial,17,4,27,25-RC-290609,-88.2546834,42.2167218
188,14-Feb-22,Oak Creek,WI,"8880 South Howell Avenue, Oak Creek, Wisconsin",Unionized,Starbucks Corporation,"Chicago and Midwest Regional Joint Board, Workers United affiliated with Service Employees International Union",27-Apr-22,Initial,15,8,31,18-RC-290576,-87.9116063,42.8838888
128,14-Jan-22,La Grange,IL,"38 S. LaGrange Rd., LaGrange, Illinois",Voted Failed,Starbucks Corporation,Chicago & Midwest Regional Joint Board,6-May-22,Initial,6,9,18,13-RC-288995,-87.8700668,41.817664
91,10-Jan-22,Chicago,IL,2543 N. California,Voted Failed,Starbucks Corporation,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",7-Jun-22,Initial,8,10,22,13-RC-288667,-87.6972845,41.9279076
