,Date Filed,City,State,Address,Status,Case Name,Labor Union,Tally Date,Ballot Type,Votes For Union,Votes Against,Num Eligible Voters,Case,lon,lat
25,20-Jan-22,Baltimore,MD,"1209 North Charles Street, Baltimore, Maryland",Unionized,Starbucks Corporation,"Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union",25-Apr-22,Initial,14,0,22,05-RC-289214,-76.6158411,39.3035573
176,1-Feb-22,Ithaca,NY,"722 South Meadow Street, Ithaca, New York",Unionized,Starbucks Corporation,Workers United,8-Apr-22,Initial,13,1,27,03-RC-289796,-76.5097113,42.430811
117,12-Apr-22,Newport News,VA,"340 Oyster Point Road, Newport News, Virginia",Unionized,Starbucks Corporation,"Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union",19-May-22,Initial,11,7,20,05-RC-293910,-76.5086658,37.1048702
35,1-Feb-22,Ithaca,NY,"130 East Seneca Street, Ithaca, New York",Unionized,Starbucks Corporation,Workers United,8-Apr-22,Initial,15,1,25,03-RC-289805,-76.4974243,42.4406563
132,1-Feb-22,Ithaca,NY,"402 College Avenue, Suite 402, Ithaca, New York",Unionized,Starbucks Corporation,Workers United,8-Apr-22,Initial,19,1,27,03-RC-289793,-76.485404,42.441716
157,6-Apr-22,Nottingham,MD,"5350 Campbell Boulevard, Nottingham, Maryland",Open,Starbucks Corporation,"Mid-Atlantic Regional Joint Board, Workers United",1-Jun-22,Initial,10,2,21,05-RC-293696,-76.4496724,39.3677463
141,6-Apr-22,Stevensville,MD,"450 Thompson Creek Road, Stevensville, Maryland",Unionized,Starbucks Corporation,"Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union",1-Jun-22,Initial,6,3,21,05-RC-293590,-76.31281,38.97618
118,7-Mar-22,Philadelphia,PA,"3400 Civic Center Blvd., Philadelphia, PA",Unionized,Starbucks Corporation,Workers United,25-May-22,Initial,10,1,26,04-RC-291798,-75.192598,39.9476279
119,4-Feb-22,Philadelphia,PA,"3401 Walnut St., Philadelphia, PA",Unionized,Starbucks Corporation,Workers United a/w SEIU,25-May-22,Initial,10,0,24,04-RC-290064,-75.1922872,39.9529913
70,4-Feb-22,Philadelphia,PA,"1900 Market St., Philadelphia, PA",Unionized,Starbucks Corporation,Workers United a/w SEIU,25-May-22,Initial,11,0,18,04-RC-290056,-75.172406,39.953312
72,28-Jan-22,Philadelphia,PA,"1945 Callowhill St., Philadelphia, PA",Voted Failed,Starbucks Corporation,Workers United a/w SEIU,25-May-22,Initial,4,10,19,04-RC-289708,-75.1713648,39.9609221
12,13-Apr-22,Philadelphia,PA,"1128 Walnut Street, Philadelphia, Pennsylvania",Unionized,Starbucks Corporation,Workers United,21-Jun-22,Initial,6,1,13,04-RC-293959,-75.1604598,39.9486013
163,28-Jan-22,Philadelphia,PA,"600 S. 9th St, Philadelphia, PA",Unionized,Starbucks Corporation,Workers United a/w SEIU,25-May-22,Initial,7,2,17,04-RC-289746,-75.1573199,39.9425227
183,11-Jan-22,Hopewell (Township),NJ,"800 Denow Road, Pennington, New Jersey",Unionized,Starbucks Corporation,WORKERS UNITED,25-Apr-22,Initial,15,0,26,22-RC-288780,-74.7822753,40.3012611
6,25-Feb-22,Hamilton,NJ,"1081 Whitehorse Road, Hamilton Township, New Jersey",Unionized,Starbucks Corporation,Workers United,2-May-22,Initial,8,3,28,22-RC-291263,-74.6948955,40.2066862
77,1-Mar-22,Summit,NJ,"2 Beechwood Road, Summit, New Jersey",Unionized,Starbucks Corporation,WORKERS UNITED,2-May-22,Initial,7,3,18,22-RC-291520,-74.3578007,40.7170907
33,15-Apr-22,Nanuet,NY,"126 Rockland Plaza, Nanuet, New York",Unionized,Starbucks Corporation,Workers United,3-Jun-22,Initial,14,5,21,02-RC-294088,-74.0147263,41.098883
189,10-Feb-22,Brooklyn,NY,"8973 Bay Parkway, Brooklyn, NY",Unionized,Starbucks Corporation,Workers United,3-May-22,Initial,17,0,20,29-RC-290386,-74.0011639,40.5935861
39,10-Feb-22,New York,NY,"13-25 Astor Place, New York",Unionized,Starbucks Corporation,"New York New Jersey Regional Joint Board, Workers United",29-Apr-22,Initial,11,2,30,02-RC-290378,-73.9917721,40.730131
48,14-Apr-22,Brooklyn,NY,"154 North Seventh Street, Brooklyn, NY",Unionized,Starbucks Corporation,Workers United,21-Jun-22,Initial,10,0,16,29-RC-294160,-73.9583239,40.7179558
106,18-Mar-22,Astoria,NY,"30-18 Astoria Blvd, Long Island City, NY",Unionized,Starbucks Corporation,Workers United,6-Jun-22,Initial,11,0,14,29-RC-292481,-73.918523,40.7699952
46,21-Apr-22,Albany,NY,"1475 Western Avenue in Albany, New York",Unionized,Starbucks Corporation,Workers United,7-Jun-22,Initial,15,0,22,03-RC-294402,-73.8396313,42.6837509
26,30-Mar-22,Latham,NY,"1210 Troy Schenectady Road in Latham, New York",Unionized,Starbucks Corporation,Workers United,17-May-22,Initial,8,6,19,03-RC-293138,-73.8233661,42.7715085
190,14-Apr-22,Garden City,NY,"914 Old Country Road, Garden City, NY",Unionized,Starbucks Corporation,Workers United,10-Jun-22,Initial,23,0,27,29-RC-294141,-73.6038312,40.7442452
138,16-Feb-22,Massapequa,NY,"4301 Merrick Road, Massapequa, NY",Unionized,Starbucks Corporation,"New York New Jersey Regional Joint Board Workers United, affiliated with SEIU",3-May-22,Initial,19,8,36,29-RC-290794,-73.4748515,40.6669693
45,12-Apr-22,West Hartford,CT,"1449B New Britain Ave, West Hartford, CT",Unionized,Starbucks Corporation,Workers United,9-Jun-22,Initial,13,3,21,01-RC-293992,-72.7573025,41.7252901
7,28-Mar-22,Worcester,MA,"11 East Central Street, Worcester, MA",Unionized,Starbucks Corporation,Workers United a/w SEIU,3-Jun-22,Initial,14,0,39,01-RC-292949,-71.7944103,42.2669077
63,28-Mar-22,Westford,MA,"174 Littleton Road, Westford, MA",Unionized,Starbucks Corporation,Workers United,3-Jun-22,Initial,11,0,30,01-RC-292964,-71.4220512,42.5663714
145,14-Mar-22,Waban,MA,"474 Woodward Street, Waban, MA",Unionized,Starbucks Corporation,Workers United,19-May-22,Initial,12,0,23,01-RC-292142,-71.2301735,42.3264092
56,17-Feb-22,Newtonville,MA,"16-18 Austin St., Newtonville, MA",Open,Starbucks Corporation,Workers United,30-Jun-22,Initial,2,5,12,01-RC-290847,-71.2075916,42.350422
180,21-Jan-22,Watertown,MA,"75 Mt. Auburn Street, Watertown, MA",Unionized,Starbucks Corporation,WORKERS UNITED,3-May-22,Initial,10,1,27,01-RC-289330,-71.181079,42.3664259
73,18-Jan-22,Brighton,MA,"1948 Beacon Street, Brighton, MA",Unionized,Starbucks Corporation,Workers United,3-May-22,Initial,8,2,22,01-RC-289077,-71.1501629,42.3362534
36,13-Dec-21,Allston,MA,"1304 Commonwealth Ave., Allston, MA",Unionized,Starbucks Corporation,WORKERS UNITED,11-Apr-22,Initial,11,0,29,01-RC-287618,-71.134129,42.348368
81,18-Jan-22,Boston,MA,"217 Western Avenue, Boston, MA",Unionized,Starbucks Corporation,Workers United,3-May-22,Initial,7,0,14,01-RC-289055,-71.1305426,42.3633517
95,13-Dec-21,Brookline,MA,"277 Harvard St., Brookline, MA",Unionized,Starbucks Corporation,WORKERS UNITED,11-Apr-22,Initial,14,0,21,01-RC-287639,-71.121576,42.3426247
185,28-Mar-22,Brookline,MA,"874 Commonwealth Ave, Brookline, MA",Unionized,Starbucks Corporation,Workers United,3-Jun-22,Initial,10,0,36,01-RC-292965,-71.1145409,42.3506259
124,21-Jan-22,Boston,MA,"364 Brookline Avenue, Boston, MA",Unionized,Starbucks Corporation,"Mid Atlantic Regional Joint Board, Workers United",3-May-22,Initial,5,0,15,01-RC-289350,-71.1045583,42.3398798
20,17-Feb-22,Cambridge,MA,"120 Broadway, Cambridge, MA",Open,Starbucks Corporation,Workers United,30-Jun-22,Initial,6,0,26,01-RC-290851,-71.0880847,42.3640351
167,23-Mar-22,Boston,MA,"627 Tremont Street, Boston, MA",Open,Starbucks Corporation,Workers United,3-Jun-22,Initial,4,0,32,01-RC-292803,-71.074685,42.3426382
140,4-Apr-22,Boston,MA,"443 Boylston Street, Boston, MA",Unionized,Starbucks Corporation,WORKERS UNITED,9-Jun-22,Initial,5,1,27,01-RC-293421,-71.0730563,42.3515343
32,17-Feb-22,Boston,MA,"125 Summer St., Boston, MA",Open,Starbucks Corporation,Workers United,30-Jun-22,Initial,4,3,13,01-RC-290850,-71.0575436,42.3530336
